iter	Passed	Remaining
664	1525	768
665	1527	766
666	1528	763
667	1530	760
668	1532	757
669	1533	755
670	1534	752
671	1536	749
672	1542	749
673	1543	746
674	1545	743
675	1546	741
676	1547	738
677	1549	735
678	1550	733
679	1554	731
680	1556	728
681	1557	726
682	1558	723
683	1560	720
684	1561	718
685	1562	715
686	1564	712
687	1566	710
688	1571	709
689	1572	706
690	1574	703
691	1575	701
692	1576	698
693	1577	695
694	1579	693
695	1581	690
696	1584	688
697	1586	686
698	1587	683
699	1588	680
700	1590	678
701	1591	675
702	1593	673
703	1595	670
704	1600	669
705	1602	667
706	1603	664
707	1604	661
708	1605	659
709	1607	656
710	1608	653
711	1609	651
712	1611	648
713	1615	646
714	1616	644
715	1618	641
716	1620	639
717	1621	636
718	1623	634
719	1625	632
720	1631	631
721	1633	628
722	1634	626
723	1635	623
724	1637	620
725	1638	618
726	1640	616
727	1642	613
728	1646	611
729	1647	609
730	1648	606
731	1650	604
732	1651	601
733	1652	598
734	1654	596
735	1655	593
736	1657	591
737	1661	589
738	1663	587
739	1664	584
740	1665	582
741	1666	579
742	1668	577
743	1669	574
744	1671	572
745	1675	570
746	1676	567
747	1677	565
748	1679	562
749	1680	560
750	1682	557
751	1683	555
752	1684	552
753	1686	550
754	1691	548
755	1693	546
756	1694	543
757	1695	541
758	1697	538
759	1698	536
760	1699	533
761	1701	531
762	1705	529
763	1706	527
764	1707	524
765	1709	522
766	1710	519
767	1712	517
768	1713	514
769	1714	512
770	1716	509
771	1723	508
772	1724	506
773	1726	504
774	1727	501
775	1729	499
776	1731	496
777	1732	494
778	1736	492
779	1738	490
780	1739	487
781	1740	485
782	1741	482
783	1743	480
784	1744	477
785	1746	475
786	1748	473
787	1749	470
788	1750	468
789	1752	465
790	1753	463
791	1754	460
792	1756	458
793	1757	456
794	1759	453
795	1761	451
796	1762	448
797	1763	446
798	1765	444
799	1766	441
800	1767	439
801	1769	436
802	1770	434
803	1776	433
804	1777	430
805	1779	428
806	1780	425
807	1781	423
808	1782	420
809	1784	418
810	1786	416
811	1787	413
812	1791	412
813	1792	409
814	1793	407
815	1795	404
816	1796	402
817	1797	399
818	1799	397
819	1801	395
820	1807	394
821	1809	391
822	1811	389
823	1812	387
824	1814	384
825	1815	382
826	1819	380
827	1821	378
828	1822	375
829	1823	373
830	1825	371
831	1826	368
832	1827	366
833	1829	364
834	1830	361
835	1836	360
836	1837	357
837	1839	355
838	1840	353
839	1841	350
840	1843	348
841	1845	346
842	1846	343
843	1851	342
844	1852	339
845	1853	337
846	1855	335
847	1856	332
848	1857	330
849	1859	328
850	1867	327
851	1870	324
852	1871	322
853	1873	320
854	1874	317
855	1875	315
856	1876	313
857	1881	311
858	1883	309
859	1884	306
860	1885	304
861	1887	302
862	1888	299
863	1889	297
864	1890	295
865	1892	292
866	1897	291
867	1898	288
868	1899	286
869	1901	284
870	1902	281
871	1903	279
872	1905	277
873	1906	274
874	1907	272
875	1909	270
876	1912	268
877	1915	266
878	1916	263
879	1918	261
880	1919	259
881	1925	257
882	1927	255
883	1928	253
884	1929	250
885	1930	248
886	1932	246
887	1933	243
888	1934	241
889	1939	239
890	1940	237
891	1942	235
892	1943	232
893	1944	230
894	1945	228
895	1947	226
896	1948	223
897	1949	221
898	1957	219
899	1958	217
900	1960	215
901	1961	213
902	1962	210
903	1963	208
904	1965	206
905	1968	204
906	1970	202
907	1971	199
908	1972	197
909	1974	195
910	1975	192
911	1977	190
912	1978	188
913	1980	186
914	1982	184
915	1983	181
916	1985	179
917	1986	177
918	1988	175
919	1989	172
920	1990	170
921	1992	168
922	1996	166
923	1997	164
924	1999	162
925	2000	159
926	2002	157
927	2003	155
928	2006	153
929	2012	151
930	2013	149
931	2015	147
932	2016	144
933	2017	142
934	2019	140
935	2020	138
936	2022	135
937	2024	133
938	2025	131
939	2026	129
940	2027	127
941	2029	124
942	2030	122
943	2032	120
944	2037	118
945	2039	116
946	2040	114
947	2041	111
948	2043	109
949	2044	107
950	2045	105
951	2046	103
952	2048	101
953	2052	98
954	2053	96
955	2055	94
956	2056	92
957	2058	90
958	2059	88
959	2060	85
960	2061	83
961	2063	81
962	2068	79
963	2069	77
964	2070	75
965	2072	72
966	2073	70
967	2074	68
968	2076	66
969	2077	64
970	2078	62
971	2084	60
972	2085	57
973	2087	55
974	2088	53
975	2089	51
976	2091	49
977	2092	47
978	2098	45
979	2099	42
980	2101	40
981	2104	38
982	2105	36
983	2107	34
984	2108	32
985	2114	30
986	2116	27
987	2118	25
988	2119	23
989	2120	21
990	2122	19
991	2123	17
992	2128	15
993	2129	12
994	2131	10
995	2132	8
996	2134	6
997	2135	4
998	2136	2
999	2138	0
